ID  method         mode       dataset   model   summarization
107 data_poisoning necessary  DB100K    ComplEx no
108 data_poisoning sufficient DB100K    ComplEx no
109 data_poisoning necessary  YAGO4-20  TransE  no
110 data_poisoning sufficient YAGO4-20  TransE  no
111 data_poisoning necessary  YAGO4-20  ConvE   no
112 data_poisoning sufficient YAGO4-20  ConvE   no
113 data_poisoning necessary  YAGO4-20  ComplEx no
114 data_poisoning sufficient YAGO4-20  ComplEx no
115 data_poisoning necessary  FB15k-237 TransE  no
116 data_poisoning sufficient FB15k-237 TransE  no
117 data_poisoning necessary  FB15k-237 ConvE   no
118 data_poisoning sufficient FB15k-237 ConvE   no
119 data_poisoning necessary  FB15k-237 ComplEx no
120 data_poisoning sufficient FB15k-237 ComplEx no
121 data_poisoning necessary  WN18RR    TransE  no
122 data_poisoning sufficient WN18RR    TransE  no
123 data_poisoning necessary  WN18RR    ConvE   no
124 data_poisoning sufficient WN18RR    ConvE   no
125 data_poisoning necessary  WN18RR    ComplEx no
126 data_poisoning sufficient WN18RR    ComplEx no
127 data_poisoning necessary  YAGO3-10  TransE  no
128 data_poisoning sufficient YAGO3-10  TransE  no
129 data_poisoning necessary  YAGO3-10  ConvE   no
130 data_poisoning sufficient YAGO3-10  ConvE   no
131 data_poisoning necessary  YAGO3-10  ComplEx no
132 data_poisoning sufficient YAGO3-10  ComplEx no
133 GEnI None DB50K TransE no
134 GEnI None DB50K ComplEx no
135 GEnI None DB100K TransE no
136 GEnI None DB100K ComplEx no
137 GEnI None YAGO4-20 TransE no
138 GEnI None YAGO4-20 ComplEx no
139 GEnI None YAGO3-10 TransE no
140 GEnI None YAGO3-10 ComplEx no
141 GEnI None FB15k-237 TransE no
142 GEnI None FB15k-237 ComplEx no
143 GEnI None WN18RR TransE no
144 GEnI None WN18RR ComplEx no
